Country,Institution,Type,Project,Amount (in USD),Financial Close,Region,Recipient Country,Recipient Subregion,Project Sponsor,Construction Company,Generator Manufacturer,Source 1,Notes,Source 2,Source 3,Sector Group,Sector,Plant Type,Total Project Value ,Status,Power Plant Size (MW) or Share ,Annual Emissions (MMTCO2),Lifetime Emissions (MMTCO2) ,Coal Mine Size (Mtpa) ,Full MW Size ,Parent Company,SSS Manufacturer,Turbine Manufacturer,Architechture/Engineering,GPPD ID,Latitude,Longitude,Location Source
Japan,Japan Bank for International Cooperation (JBIC),Export Credit & Insurance,Van Phong I Coal Plant (1320MW),"$650,000,000 ",1/1/1950,Southeast Asia,Vietnam,,Sumitomo  Corp.,,,IJ Global: Project Finance and Infrastructure Journal,"JBIC’s potential participation is clear, but amount is unclear. Allocated JBIC $650 million - 25% of $2.6 billion – which is a conservative estimate compared to JBIC’s share of participation in other coal-fired power.  projects. Project is listed as Van Phong 1. Investment certificate set to sign (6/08/17): Japan Bank for International Cooperation is expected to provide around 60% of the debt funding through an overseas loan. The total cost of the project is seen at between $2.5 and $3 . Still no PPA. billion.https://ijglobal.com/articles/106694/vietnam-van-phong-coal-fired-investment-certificate-set-to-sign",http://baokhanhhoa.com.vn/kinh-te/201504/du-an-nhiet-dien-van-phong-1-ban-giao-mat-bang-trong-nam-2015-2382242/,http://baocongthuong.com.vn/jbic-quan-tam-tien-do-3-du-an-nhiet-dien-bot-tai-viet-nam.html,Coal Power Plant,Coal Power Plant - New,Supercritical,"$2,750,000,000 ",Financing,1320,1.5,60,,,SUMITOMO CORP,,,SUM/HIIC,,,,
Italy,Servizi Assicurativi del Commercio Estero (SACE),Export Credit & Insurance,Long Phu 1 Coal Plant (1200 MW),,1/1/1950,Southeast Asia,Vietnam, Soc Trang,PetroVietnam,,,IJ Global: Project Finance and Infrastructure Journal," AP089111XX; full value 1,595,000,000","http://www.exim.gov/policies/ex-im-bank-and-the-environment/pending-transactions
http://www.sace.it/en/about-us/environmental-impact/single-environmental-news/environmental-and-social-impact-assessment-availability-for-the-long-phu-1-project","http://nangluongvietnam.vn
http://pvc.vn/en-us/news/newsdetails/tabid/211/id/2199/EPC-Contract-Signed-for-Long-Phu-1-Thermal-Power-Plant-Construction.aspx
https://www.marketforces.org.au/research/vietnam/long-phu-1/",Coal Power Plant,Coal Power Plant - New,Supercritical,"$1,590,000,000 ",Financing,400,0.46,18,,,PETROVIETNAM,,,,,,,
Russia,Russian Development Bank (VEB),Export Credit & Insurance,Long Phu 1 Coal Plant (1200 MW),,1/1/1950,Southeast Asia,Vietnam, Soc Trang,PetroVietnam,,,IJ Global: Project Finance and Infrastructure Journal," AP089111XX; full value 1,595,000,000","http://www.exim.gov/policies/ex-im-bank-and-the-environment/pending-transactions
http://www.sace.it/en/about-us/environmental-impact/single-environmental-news/environmental-and-social-impact-assessment-availability-for-the-long-phu-1-project","http://nangluongvietnam.vn
http://pvc.vn/en-us/news/newsdetails/tabid/211/id/2199/EPC-Contract-Signed-for-Long-Phu-1-Thermal-Power-Plant-Construction.aspx
https://www.marketforces.org.au/research/vietnam/long-phu-1/
http://www.pvpower.vn/en/veb-and-iib-to-finance-long-phu-1-power-plant/",Coal Power Plant,Coal Power Plant - New,Supercritical,"$1,590,000,000 ",Financing,400,0.46,18,,,PETROVIETNAM,,,,,,,
United States,Export-Import Bank of the United States (EXIM),Export Credit & Insurance,Long Phu 1 Coal Plant (1200 MW),,1/1/1950,Southeast Asia,Vietnam, Soc Trang,PetroVietnam,,,IJ Global: Project Finance and Infrastructure Journal," AP089111XX; full value 1,595,000,000","http://www.exim.gov/policies/ex-im-bank-and-the-environment/pending-transactions
http://www.sace.it/en/about-us/environmental-impact/single-environmental-news/environmental-and-social-impact-assessment-availability-for-the-long-phu-1-project","http://nangluongvietnam.vn
http://pvc.vn/en-us/news/newsdetails/tabid/211/id/2199/EPC-Contract-Signed-for-Long-Phu-1-Thermal-Power-Plant-Construction.aspx
https://www.marketforces.org.au/research/vietnam/long-phu-1/
http://www.pvpower.vn/en/veb-and-iib-to-finance-long-phu-1-power-plant/",Coal Power Plant,Coal Power Plant - New,Supercritical,"$1,590,000,000 ",Financing,400,0.46,18,,,PETROVIETNAM,,,,,,,
China,China Export & Credit Insurance Corporation (Sinosure),Export Credit & Insurance,Hubco Coal Plant (1320MW),"$1,492,000,000 ",1/1/1950,South Asia,Pakistan,"Hub, Balochistan","China Power Hub Generation Company (Private) Limited (CPHGC), HUBCO and Private Power Infrastructure Board (PPIB) ",,,IJ Global: Project Finance and Infrastructure Journal,"estimated cost of over $2billion. Exim Bank of China, China Development Bank, and the Industrial and Commercial Bank of China potentially.
the groundwork has started with equity money. And one unit already constructed. Perhaps IPP money",http://www.pcq.com.pk/hubco-allowed-build-two-imported-coal-based-plants/,"http://nation.com.pk/national/28-Jan-2017/certain-issues-need-to-be-streamlined
https://tribune.com.pk/story/1330482/cpec-energy-projects-pakistan-china-revise-priority-list/
http://www.mastfun4u.com/2017/07/hubco-power-plant-apprenticeship-jobs-pattern-paper-location-capacity.html",Coal Power Plant,Coal Power Plant - New,Supercritical,,Financing,1320,1.5,60,,,CHINA POWER INTL HOLD/HUB POW,GE,GE,NWEPDI,,,,
Multilateral,African Development Bank (AfDB),Multilateral,Lamu Coal Plant (981.5MW),"$100,000,000 ",1/1/1950,Sub-Saharan Africa,Kenya,Coast,"Amu Power Company, Centum, Gulf Energy","Chinese trio China Huadian Corporation Power Operation Company, Sichuan Electric Power Design and Consulting Company, and Sichuan No. 3 Power Construction Company",SCEPECC3,IJ Global: Project Finance and Infrastructure Journal,construction guarantee,,,Coal Power Plant,Coal Power Plant - New,Supercritical,,Financing,982,1.12,45,,,CENTUM INVEST/GULF ENERGY,,,SCEPDI,,,,
South Korea,Export-Import Bank of Korea (Kexim),Export Credit & Insurance,Coal Plant in Moatize (300MW),"$250,000,000 ",1/1/1950,Sub-Saharan Africa,Mozambique,,"Mitsui, Vale",,,IJ Global: Project Finance and Infrastructure Journal,"The total finance amount is $500000000; total power plant size is 300 MW.

Hasn't been decided eventually who will finance the project. Current candidates include KEXIM and African Development Bank. For the purpose of our calculation, the total finance and power plant size are evenly divided among KEXIM and African Development Bank, each with $250000000. 

African Development Bank's finance are divided among its members based on their shares in the bank. The power plant size and emission responsible of African Development Bank are divided evenly among its members. ",sourcewatch,,Coal Power Plant,Coal Power Plant - New,Subcritical,"$1,000,000,000 ",Financing,150,0.17,7,,,VALE/ACWA/MITSU/EDM/WHATANA,,,,,,,
South Korea,Export-Import Bank of Korea (Kexim),Export Credit & Insurance,Ulaanbaatar CHP5 Coal Plant (463.5MW),,1/1/1950,Central Asia and Caucasus,Mongolia,,"GDF Suez, Sojitz, POSCO and Newcom",,,IJ Global: Project Finance and Infrastructure Journal,"The financing will be used for the construction of the CHP5 coal fired combined heat and power plant in Mongolia's capital, Ulaanbaatar. GDF Suez (30%), Sojitz(30%), POSCO(30%) and Newcom(10%) are the sponsors of the project.  The Central Region Electricity Transmission Company will be the offtaker for the power under a 25-year PPA, while the Central Region Electricity Transmission Company will purchase the heat. The total cost of the project is estimated at $1.2billion The operations are expected to begin in 2017.

Only the financers are known at this point. The specific amounts are unknown. ",,,Coal Power Plant,Coal Power Plant - New,Subcritical,,Financing,116,0.13,5,,,ENGIE/SOJITZ/POSCO/NEWCOM,,,,,,,
China,TBD,TBD,Kalbar-2 Coal Plant (200MW) PPP,,1/1/1950,Southeast Asia,Indonesia,East Kalimantan,PLN,,,IJ Global: Project Finance and Infrastructure Journal,,http://www.sourcewatch.org/index.php/Kalbar-2_power_station,,Coal Power Plant,Coal Power Plant - New,Subcritical,,Financing,200,0.23,9,,,,,,,,,,
China,TBD,TBD,Rahim Yar Khan Power plant (1320MW),"$956,000,000 ",1/1/1950,South Asia,Pakistan,,,,,https://tribune.com.pk/story/1330482/cpec-energy-projects-pakistan-china-revise-priority-list/,"downgraded to its actively promoted list, which carries projects that will be completed in the next five years.  no transmission line at the project site.",http://www.bu.edu/cgef/#/2016/EnergySource/Coal,http://www.pakistaneconomist.com/2017/07/24/china-taking-major-role-to-grow-pakistans-renewable-resources/,Coal Power Plant,Coal Power Plant - New,Supercritical,,Financing,1320,1.5,60,,,NISHAT MILLS/TBEA XINJIANG,,,TBEA,,,,
China,TBD,TBD,Oracle Power Plant (1320MW) THAR BLOCK-VI NO 1,,1/1/1950,South Asia,Pakistan,Sindh,THAR ELECTRICITY (PVT) LTD,SEPCO,,https://tribune.com.pk/story/1330482/cpec-energy-projects-pakistan-china-revise-priority-list/,priority list for 2017-2018,,,Coal Power Plant,,Subcritical,,Financing,600,0.68,27,,,ORACLE COALFIELDS/SEPCO,,,SEPCO,,,,
China,TBD,TBD,Oracle Power Plant (1320MW) THAR BLOCK-VI NO 2,,1/1/1950,South Asia,Pakistan,Sindh,THAR ELECTRICITY (PVT) LTD,SEPCO,,https://tribune.com.pk/story/1330482/cpec-energy-projects-pakistan-china-revise-priority-list/,priority list for 2017-2018,,,Coal Power Plant,,Subcritical,,Financing,600,0.68,27,,,ORACLE COALFIELDS/SEPCO,,,SEPCO,,,,
China,Export-Import Bank of China,Export Credit & Insurance,Gwayi SASEC Mine power station (1200MW),"$1,300,000,000 ",1/1/1950,Sub-Saharan Africa,Zimbabwe,"Gwayi, Matabeleland","Southern Africa Shanghai Energizer Company (SASEC), JV of Shanghai Electric, Shenergy Co. Ltd. and Nan Jiang Group",,,IJ Global: Project Finance and Infrastructure Journal,,"http://www.herald.co.zw/chinese-firm-to-fund-gwayi-power-project http://source.co.zw/2013/12/chinese-firm-starts-work-on-gwayi-coal-mine-thermal-power-station http://www.newzimbabwe.com/news-13453-Work+starts+on+$1.3bln+power+station/news.aspx http://www.southerneye.co.zw/2013/12/11/600mw-gwayi-power-project-takes 
http://www.sourcewatch.org/index.php/Gwayi_Mine_power_station",http://www.theindependent.co.zw/2016/06/16/zims-us2bn-solar-projects-resumes-two-years/,Coal Power Plant,Coal power plant - new ,, 3 to 5 Billion ,Financing,1200,1.37,55,,,,,,,,,,
South Korea,Export-Import Bank of Korea (Kexim),Export Credit & Insurance,Nghi Son 2 Coal Plant (1200MW),"$862,500,000 ",1/1/1950,Southeast Asia,Vietnam,,"Marubeni, KEPCO",,,IJ Global: Project Finance and Infrastructure Journal,"JICA has already supported this project; JBIC expected to provide $862.5 million according to IJGlobal. PPA set to be signed by the end of June 2017, according to IJGlobal. (July 26 -- still no PPA). DBS also joining the bank syndicate. https://www.vietnambreakingnews.com/2017/07/two-new-thermal-power-plants-licensed-4/",,,Coal Power Plant,Coal Power Plant - New,Supercritical,"$2,700,000,000 ",Financing,600,0.68,27,,,MARUBENI CORP/KOREA ELEC,DOOSAN,DOOSAN,DOOSAN,,,,
Japan,Japan Bank for International Cooperation (JBIC),Export Credit & Insurance,Nghi Son 2 Coal Plant (1200MW),"$862,500,000 ",1/1/1950,Southeast Asia,Vietnam,,"Marubeni, KEPCO",,,IJ Global: Project Finance and Infrastructure Journal,"JICA has already supported this project; JBIC expected to provide $862.5 million according to IJGlobal. PPA set to be signed by the end of June 2017, according to IJGlobal. (July 26 -- still no PPA). https://www.vietnambreakingnews.com/2017/07/two-new-thermal-power-plants-licensed-4/",,,Coal Power Plant,Coal Power Plant - New,Supercritical,"$2,700,000,000 ",Financing,600,0.68,27,,,MARUBENI CORP/KOREA ELEC,DOOSAN,DOOSAN,DOOSAN,,,,
South Korea,Export-Import Bank of Korea (Kexim) ,Export Credit & Insurance,Morupule coal plant (300MW),"$300,000,000 ",1/1/1950,Sub-Saharan Africa,Botswana,"Palapye, Central","Marubeni, Posco",GSEC (Korea),,IJ Global: Project Finance and Infrastructure Journal,"IJGlobal article indicates prospective JBIC and NEXI participation.
$800m total project cost; Morupule B Phase II Units 5 & 6; subcritical. ""BPC plans to expand its 600MW Morupule B power station by another 300MW, but the project has been staled by a dispute over an $800 million guarantee between the contractors and government. Energy minister, Sadique Kebonang recently told BusinessWeek that granting the guarantee would need Parliament approval. Botswana’s Parliament is currently in recess and will sit in July."" http://www.mmegi.bw/index.php?aid=69414&dir=2017/june/09",http://www.koreatimes.co.kr/www/news/biz/2015/11/123_192083.html,https://www.jbic.go.jp/wp-content/uploads/projects/2016/09/49320/ESIAStatement3.pdf,Coal Power Plant,Coal Power Plant - New,Subcritical,,Financing,100,0.11,5,,,,,,,,,,
Japan,Japan International Cooperation Agency (JICA),Other Public Financer,Matarbari Coal Fired Power Generation Hub (1200MW),"$4,510,000,000 ",1/1/1950,South Asia,Bangladesh,Matabari,Coal Power Generation Company,Sumitomo,,IJ Global: Project Finance and Infrastructure Journal,,"http://www.sourcewatch.org/index.php/Matarbari_power_station
https://www.jica.go.jp/english/news/press/2017/170629_02.html","https://www.jica.go.jp/english/our_work/social_environmental/id/asia/south/bangladesh/c8h0vm000090ry4d.html
https://energybangla.com/japanese-marubeni-sumitomo-at-last-reverted-to-matarbari/

http://www.jica.go.jp/english/news/press/2014/140616_02.html",Coal Power Plant,Coal Power Plant - New,Ultrasupercritical,,Financing,1200,1.37,55,,,,,,,,,,
South Korea,TBD,TBD,MEJILLONES 4,,1/1/1950,Latin America & Caribbean,Chile,Mejillones,E-CL,SKE&C,SKODA,Platts World Electric Power Plants Database,,http://www.sourcewatch.org/index.php/Mejillones_power_station,,Coal Power Plant,,Subcritical,,Planned,375,0.43,17,,,ENGIE,FW,SKODA,SKE&C,,,,
China,TBD,TBD,Gazaria Coal Plant (350MW),,1/1/1950,South Asia,Bangladesh,"Gazaria Upazila - Munshiganj Dist, Dhaka",RURAL POWER CO LTD,PC/HHPE,,Platts World Electric Power Plants Database,,,,Coal Power Plant,Coal Power - New,Ultrasupercritical,,Financing,350,0.4,16,,,,,,,,,,
China,TBD,TBD,THAR BLOCK-I NO 1,,1/1/1950,South Asia,Pakistan,Sindh,THAR COAL BLOCK-I POW GEN CO,,SHANGHAI,Platts World Electric Power Plants Database,,,,Coal Power Plant,,Supercritical,,Planned,660,0.75,30,,,SHANGHAI ELECTRIC GROUP,SHANGHAI,SHANGHAI,,,,,
China,TBD,TBD,THAR BLOCK-I NO 2,,1/1/1950,South Asia,Pakistan,Sindh,THAR COAL BLOCK-I POW GEN CO,,SHANGHAI,Platts World Electric Power Plants Database,,,,Coal Power Plant,,Supercritical,,Planned,660,0.75,30,,,SHANGHAI ELECTRIC GROUP,SHANGHAI,SHANGHAI,,,,,
TBD,TBD,TBD,Mulut Tambang (Sumsel 9),,1/1/1950,Southeast Asia,Indonesia,,,,,,,,,Coal Power Plant,Coal Power Plant - New,,,Financing,,0,0,,,PT PLN IPP,,,,,,,
China,TBD,TBD,Karaganda Coal Processing Plant,,1/1/1950,Central Asia and Caucasus,Kazakhstan,Karaganda,Kazakh KazMunaiGas - Processing and Marketing JSC and China Kingho Energy Group signed an agreement to establish a joint venture - Karaganda CCI LLP.,China Kingho Energy Group,,http://www.inform.kz/eng/article/2813050,"China is tenatively the funding country, but as the insititution is unidentified, the country has been left blank. value of the investment portfolio is estimated at $ 2.6",http://en.trend.az/casia/kazakhstan/2429083.html,,Other/Unspecified,Coal to synthetic fuel,,"$2,600,000,000 ",Financing,,0,0,,,,,,,,,,
China,TBD,TBD,Dawood wind Farm (50MW),,1/1/1950,South Asia,Pakistan," Bhambore, Sindh ",,,,http://nation.com.pk/national/28-Jan-2017/certain-issues-need-to-be-streamlined,,,,Renewables,,,"$125,000,000 ",Financing,50,,,,,,,,,,,,
Multilateral,Asian Development Bank (ADB),Multilateral,Ulaanbaatar CHP5 Power Plant (463.5MW),"$150,000,000 ",1/1/1950,Central Asia and Caucasus,Mongolia,,"GDF Suez, Sojitz, POSCO and Newcom",,,https://www.adb.org/projects/46915-014/main,"The financing will be used for the construction of the CHP5 coal fired combined heat and power plant in Mongolia's capital, Ulaanbaatar. GDF Suez (30%), Sojitz(30%), POSCO(30%) and Newcom(10%) are the sponsors of the project.  The Central Region Electricity Transmission Company will be the offtaker for the power under a 25-year PPA, while the Central Region Electricity Transmission Company will purchase the heat. The total cost of the project is estimated at $1.2billion The operations are expected to begin in 2017.

Only the financers are known at this point. The specific amounts are unknown. ",https://ijglobal.com/data/transaction/31251/ulaanbaatar-chp5-power-plant,,Coal Power Plant,Coal Power Plant - New,Subcritical,,Financing,464,0.53,21,,,ENGIE/SOJITZ/POSCO/NEWCOM,,,,,,,
Multilateral,European Bank for Reconstruction and Development,Multilateral,Ulaanbaatar CHP5 Power Plant (463.5MW),$0 ,1/1/1950,Central Asia and Caucasus,Mongolia,,"GDF Suez, Sojitz, POSCO and Newcom",,,https://www.adb.org/projects/46915-014/main#project-pds,"The financing will be used for the construction of the CHP5 coal fired combined heat and power plant in Mongolia's capital, Ulaanbaatar. GDF Suez (30%), Sojitz(30%), POSCO(30%) and Newcom(10%) are the sponsors of the project.  The Central Region Electricity Transmission Company will be the offtaker for the power under a 25-year PPA, while the Central Region Electricity Transmission Company will purchase the heat. The total cost of the project is estimated at $1.2billion The operations are expected to begin in 2017.
EBRD RESPONSE; No decision/approval ",https://ijglobal.com/data/transaction/31251/ulaanbaatar-chp5-power-plant,,Coal Power Plant,Coal Power Plant - New,Subcritical,,Financing,116,0.13,5,,,,,,,,,,
Japan,Nippon Export and Investment Insurance (NEXI),Export Credit & Insurance,Ulaanbaatar CHP5 Power Plant (463.5MW),,1/1/1950,Central Asia and Caucasus,Mongolia,,,,,https://www.adb.org/projects/46915-014/main#project-pds,Ref No. is 14-082. ,https://ijglobal.com/data/transaction/31251/ulaanbaatar-chp5-power-plant,,Coal Power Plant,Coal Power Plant,Subcritical,,Financing,232,0.26,11,,,ENGIE/SOJITZ/POSCO/NEWCOM,,,,,,,
Japan,Japan Bank for International Cooperation (JBIC),Export Credit & Insurance,Ulaanbaatar CHP5 Power Plant (463.5MW),,1/1/1950,Central Asia and Caucasus,Mongolia,,"GDF Suez, Sojitz, POSCO and Newcom",,,https://www.adb.org/projects/46915-014/main#project-pds,"The financing will be used for the construction of the CHP5 coal fired combined heat and power plant in Mongolia's capital, Ulaanbaatar. GDF Suez (30%), Sojitz(30%), POSCO(30%) and Newcom(10%) are the sponsors of the project.  The Central Region Electricity Transmission Company will be the offtaker for the power under a 25-year PPA, while the Central Region Electricity Transmission Company will purchase the heat. The total cost of the project is estimated at $1.2billion The operations are expected to begin in 2017.

Only the financers are known at this point. The specific amounts are unknown. ",https://ijglobal.com/data/transaction/31251/ulaanbaatar-chp5-power-plant,,Coal Power Plant,Coal Power Plant - New,Subcritical,,Financing,232,0.26,11,,,ENGIE/SOJITZ/POSCO/NEWCOM,,,,,,,
China,TBD,TBD,Sachal Wind Farm (50MW),,1/1/1950,South Asia,Pakistan,Jhimpir ,,,,http://nation.com.pk/national/28-Jan-2017/certain-issues-need-to-be-streamlined,,,,Renewables,,,"$134,000,000 ",Financing,50,,,,,,,,,,,,
Japan,Japan Bank for International Cooperation (JBIC),Export Credit & Insurance,Kalselteng 2 Coal-fired Power Plant Project (200MW),"$144,000,000 ",1/1/1950,Southeast Asia,Indonesia,,PLN Indonesia,ITOCHU,"Fuji, IHI",https://www.jbic.go.jp/en/information/press/press-2017/0621-55726,,https://www.itochu.co.jp/en/news/press/2017/1194436_1672.html,http://www.modernpowersystems.com/news/newsitochu-wins-contract-to-expand-kalselteng-5894685,Coal Power Plant,Coal Power Plant - Expansion,Subcritical,,Financing,100,0.11,5,,,,,,,,,,
Japan,Japan Bank for International Cooperation (JBIC),Export Credit & Insurance,Vinh Tan 3 Coal Plant (1980MW),"$50,000,000 ",1/1/1950,Southeast Asia,Vietnam,Binh Thuan province,One Energy (CLP Group and Mitsubishi Corporation),,,IJ Global: Project Finance and Infrastructure Journal,,https://www.jbic.go.jp/en/information/press/press-2017/0411-55033,,Coal Power Plant,Coal Power Plant - Expansion,Ultrasupercritical,,Financing,495,0.56,23,,,,,,,,,,
South Korea,Export-Import Bank of Korea (Kexim),Export Credit & Insurance,Nam Dinh I Coal Plant (1200MW),,1/1/1950,Southeast Asia,Vietnam,"Hai Hau District, Nam Dinh Province",Saudi Arabia’s Acwa Power and South Korea’s Taekwang Power Holdings,Posco Engineering & Construction,,IJ Global: Project Finance and Infrastructure Journal,"power purchase agreement signed off by the government. Mizuho is leading the lending banks, with DBS, DZ Bank and Korea Development Bank, MUFG and Standard Chartered also participating. Export-Import Bank of Korea and Korea Trade Insurance Corporation will also be providing financing. 
expected to close by the end of 2017; 2 billion USD",https://www.vietnambreakingnews.com/2017/07/two-new-thermal-power-plants-licensed-4/,,Coal Power Plant,Coal Power Plant - New,,"$2,070,000,000 ",Financing,400,0.46,18,,,TAEKWANG VINA INDUSTRIAL,,,,,,,
South Korea,Korea Trade Insurance Corporation (K-sure),Export Credit & Insurance,Nam Dinh I Coal Plant (1200MW),,1/1/1950,Southeast Asia,Vietnam,"Hai Hau District, Nam Dinh Province",Saudi Arabia’s Acwa Power and South Korea’s Taekwang Power Holdings,Posco Engineering & Construction,,IJ Global: Project Finance and Infrastructure Journal,"power purchase agreement signed off by the government. Mizuho is leading the lending banks, with DBS, DZ Bank and Korea Development Bank, MUFG and Standard Chartered also participating. Export-Import Bank of Korea and Korea Trade Insurance Corporation will also be providing financing. 
expected to close by the end of 2017; 2 billion USD",https://www.vietnambreakingnews.com/2017/07/two-new-thermal-power-plants-licensed-4/,,Coal Power Plant,Coal Power Plant - New,,"$2,070,000,000 ",Financing,400,0.46,18,,,TAEKWANG VINA INDUSTRIAL,,,,,,,
South Korea,Korea Development Bank,Other Public Financer,Nam Dinh I Coal Plant (1200MW),,1/1/1950,Southeast Asia,Vietnam,"Hai Hau District, Nam Dinh Province",Saudi Arabia’s Acwa Power and South Korea’s Taekwang Power Holdings,Posco Engineering & Construction,,IJ Global: Project Finance and Infrastructure Journal,"power purchase agreement signed off by the government. Mizuho is leading the lending banks, with DBS, DZ Bank and Korea Development Bank, MUFG and Standard Chartered also participating. Export-Import Bank of Korea and Korea Trade Insurance Corporation will also be providing financing. 
expected to close by the end of 2017; 2 billion USD",https://www.vietnambreakingnews.com/2017/07/two-new-thermal-power-plants-licensed-4/,,Coal Power Plant,Coal Power Plant - New,,"$2,070,000,000 ",Financing,400,0.46,18,,,TAEKWANG VINA INDUSTRIAL,,,,,,,
China,TBD,TBD,Sunnec wind Farm (50MW),,1/1/1950,South Asia,Pakistan,Jhimpir,,,,http://nation.com.pk/national/28-Jan-2017/certain-issues-need-to-be-streamlined,,,,Renewables,,,"$125,000,000 ",Financing,50,,,,,,,,,,,,
TBD,TBD,TBD,RE project in Phu Yen,,1/1/1950,Southeast Asia,Vietnam,,Tata Power,,,http://www.vir.com.vn/tata-power-proposes-renewable-energy-plant-in-phu-yen.html,,,,Renewables,,,,Financing,,,,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,"Coalmining machinery: crusher, spreader, portal scraper, equipment ","$19,210,245 ",1/1/1950,Central Asia and Caucasus,Serbia,,,,,,Parliamentary Inquiry March 2016. 18m euros. And June 2017,,,Coal Mining,Coal Mining,,,Financing,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Equipment for coal mining: Extension of Strebbausystems for Narrabri mine,"$17,075,774 ",1/1/1950,Oceania,Australia,,,,,,Parliamentary Inquiry March 2016. 16m euros.  And June 2017,,,Coal Mining,Coal Mining,,,Financing,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coalmining machinery: expansion of a longwall mining system for the Narrabri mine,"$4,268,943 ",1/1/1950,Oceania,Australia,,,,,,Parliamentary Inquiry March 2016. 4m euros And June 2017,,,Coal Mining,Coal Mining,,,Financing,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coalmining machinery: folding shovel excavator,"$3,201,708 ",1/1/1950,Central Asia and Caucasus,Russia,,,,,,Parliamentary Inquiry March 2016. 3m euros. And June 2017,,,Coal Mining,Coal Mining,,,Financing,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coalmining machinery: hydraulic control for shields,"$1,067,236 ",1/1/1950,Central Asia and Caucasus,Russia,,,,,,Parliamentary Inquiry March 2016. 1m euros. And June 2017,,,Coal Mining,Coal Mining,,,Financing,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coalmining machinery: tracked loaders,"$1,067,236 ",1/1/1950,Central Asia and Caucasus,Russia,,,,,,Parliamentary Inquiry March 2016. 1m euros. And June 2017,,,Coal Mining,Coal Mining,,,Financing,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coalmining machinery: pit prop and unlockable non-return valve,"$320,171 ",1/1/1950,Europe,Ukraine,,,,,,Parliamentary Inquiry March 2016. 0.3m euros. And June 2017,,,Coal Mining,Coal Mining,,,Financing,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal Project in India,,1/1/1950,South Asia,India,,,,,,Parliamentary Inquiry June 2017,,,Coal Mining,Coal Mining,,,Financing,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal-fired power plant: steam turbines and generators,"$210,245,464 ",1/1/1950,Central Asia and Caucasus,Kazakhstan,,,,,,Parliamentary Inquiry March 2016. 197 euros And June 2017,,,Coal Power Plant,Coal Power Plant,,,Financing,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal-fired power plants: control system and field instrumentation,"$44,823,906 ",1/1/1950,Sub-Saharan Africa,South Africa,,,,,,Parliamentary Inquiry March 2016. 42 euros. And June 2017,,,Coal Power Plant,Coal Power Plant,,,Financing,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal-fired power plants: core components for flue gas cleaning system of the Aghios Dimitrios power plant,"$23,479,189 ",1/1/1950,Europe,Greece,,,,,,Parliamentary Inquiry March 2016. 22 euros. And June 2017,,,Coal Power Plant,Coal Power Plant,Supercritical,,Financing,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal-fired power plants: pipes to equip vessels,"$21,344,717 ",1/1/1950,Central Asia and Caucasus,Russia,,,,,,Parliamentary Inquiry March 2016. 20 euros. And June 2017,,,Coal Power Plant,Coal Power Plant,,,Financing,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal-fired power plants: pipes to equip vessels,"$2,134,472 ",1/1/1950,Central Asia and Caucasus,Russia,,,,,,Parliamentary Inquiry March 2016. 2m euros. And June 2017,,,Coal Power Plant,Coal Power Plant,,,Financing,,0,0,,,,,,,,,,
Germany,Euler Hermes,Export Credit & Insurance,Coal-fired power plants:  mixer for ash conditioning incl. services,"$1,067,236 ",1/1/1950,Central Asia and Caucasus,Russia,,,,,,Parliamentary Inquiry March 2016. 1m euros. And June 2017,,,Coal Power Plant,Coal Power Plant,,,Financing,,0,0,,,,,,,,,,
China,Export-Import Bank of China,Export Credit & Insurance,Payra coal power station in Kalapara Phase 2 (1320MW),,1/1/1950,South Asia,Bangladesh,"Kalapara Upazila - Patuakhali Dist, Barisal",Bangladesh-China Power Company Ltd (BCPCL) – a 50-50 partnership between North-West Power Generation Company of Bangladesh and China National Machinery Import and Export Corporation,,China,,"265 km (165 miles) southeast of Dhaka, expected to begin power generation by the end of 2019.",,,Coal Power Plant,Coal Power - Expansion,Ultrasupercritical,,Planned,1320,1.5,60,,,,,,,,,,
Germany,Kreditanstalt für Wiederaufbau (KfW),Other Public Financer,Efficiency and environmental measures in the Mongolian power plant fleet,"$39,870,000 ",1/1/1950,Central Asia and Caucasus,Mongolia,,Not identified,,,Parliamentary Inquiry,PENDING avg exchange rate for 2014 1.329,,,Coal Power Plant Emissions Control,Coal Power Plant Emissions Control,,,Financing,,0,0,,,,,,,,,,
